"Unnamed: 0","Магазин","Номер заказа","Дата поступления","Статус","Оценка","Текст отзыва","Текст_класс_1","Текст_класс_2","Другое","is_p"
0,store_00,"42811R65031404","2011-06-19 00:00:56",Не проверен,5,,,,,
1,store_01,"143171885R0421","2011-06-19 00:05:42",Не проверен,5,,,,,
2,store_02,"50488R51918131","2011-06-19 00:08:19",Не проверен,5,,,,,
3,store_03,"4R556131941173","2011-06-19 00:13:57",Не проверен,3,долго заказ ждал... хотя доставку оплату повысили качество так себе,,,,
4,store_04,"1117R271442037","2011-06-19 00:27:02",Не проверен,3,,,,Без описания,
5,store_05,"3R111814004475","2011-06-19 00:30:14",Не проверен,1,"Персики дубовые , зуб можно сломать !!!!",,,,
6,store_06,"91421174R35122","2011-06-19 00:31:25",Не проверен,5,,,,,
7,store_06,"711R4433421951","2011-06-19 00:31:52",Не проверен,5,,,,,
8,store_07,"781129116R1448","2011-06-19 00:48:18",Не проверен,5,,,,,
9,store_08,"035004185R1135","2011-06-19 00:50:05",Не проверен,1,"Здравствуйте! Ужасно! Я заказывала огурцы, огурцов в доставке не оказалось!! Чеков нет !! Доставку задержали, ужасно недовольна вашим сервисом",,,,
10,store_09,"516365424122R1","2011-06-19 00:56:22",Не проверен,2,Мясо купили с одним жиром,,,,
11,store_010,"1493R541901414","2011-06-19 00:59:14",Не проверен,5,,,,,
12,store_011,"411R8214404085","2011-06-19 01:04:44",Не проверен,2,Очень плохой арбуз прислали. Тухлый,,,Очень плохой арбуз прислали. Тухлый,
13,store_012,"14915R44130219","2011-06-19 01:21:53",Не проверен,5,,,,,
14,store_013,"4R564110131631","2011-06-19 01:31:14",Не проверен,2,"Мороженное все помятое как будто его пинали, с нелетом инея. Списали баллы при оплате, но сумма не уменьшилась.",,,"Мороженное все помятое как будто его пинали, с нелетом инея. Списали баллы при оплате, но сумма не уменьшилась.",
16,store_015,"841153522R3144","2011-06-19 02:54:53",Не проверен,4,В чеке сыр Сливочный. По факту положили сыр Финский той же фирмы. Только вот Финский дешевле на 29.1р. Прошу вернуть разницу,,,,
